Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM1607857	0.00440870960239364	0	0	0.0145393624537275	0	0.0110179032381185	0	0.138088854173967	0.0259979738915569	0.0377550003657727	0	0.0896357163899266	0.0140176351149535	0.328206056691338	0.0311439992341152	0.00430265914429882	0	0.0652587973430739	0	0.235627332356757	0	0	0.012	0.243330783413219	1.01284313058372
GSM1607858	0.00121642152086132	0	0.0160566624362294	0.0018072203931334	0.00643030527209594	0.0414150092737837	0.111441835487413	0.0924243015491882	0	0.0708242932148637	0	0.109512264130461	0.000979292851659514	0.148572616216955	0.0633085604267692	0	0.0188176095716712	0.00713715045299383	0	0.303814246335275	0.00624221086664598	0	0.142	0.102892974055827	1.07500644489855
GSM1607859	0.0308804451081745	0	0.101934405891111	0	0.0278367263980498	0.0378212781763852	0	0.0812580301513728	0.00349877252151706	0.117716308205036	0	0.119811734239167	0	0.163251338666619	0.0324187663752458	0	0.0474581255578211	0.0102813421004722	0	0.223781613669609	0.00205111293941922	0	0.448	0.0319022143331293	1.08776974337911
GSM1607860	0	0.0157216353819238	0.048667629473199	0	0	0.0718530450024382	0	0.0634945504827037	0	0.0263401646672906	0	0.0645458464371739	0.0145770031643413	0.111070010971879	0.034745765357671	0.00259906133596948	0	0.0218642903975742	0	0.508834605338288	0	0.0156863919895476	0.349	0.0460320063265971	1.15691786264754
GSM1607861	0	0	0.0309984507154659	0.206596147338101	0	0	0.169796500060408	0.106424663705846	0	0.0260376540401955	0	0.126238786650011	0.0115613468936793	0.0079848345570255	0.146534144463694	0.0703088157871576	0.015345527687603	0	0	0.0821731281008138	0	0	0.014	0.23080304559419	1.01233398896609
GSM1607862	0	0	0	0.120555391080718	0.0709354078341488	0.0648200221100789	0	0.025938728075353	0.0186395826837911	0	0	0.126312356802836	0.117610990700339	0.0279577211947638	0.0378284130046576	0	0.0308210897242341	0.0620581191793554	0	0.226337189080308	0	0.0701849885294151	0.178	0.0912056466766847	1.06586714608855
GSM1607863	0	0.012305280198274	0.192971068148381	0.0696603648133299	0	0.0289300599813754	0	0.0834749973622844	0.0781966576856985	0.167605627262231	0	0.135541268313612	0.00635389131016602	0.011525635079622	0.047401709296545	0.00588897045519361	0.0467493171171019	0	0.0410773361720651	0.07231781680412	0	0	0.261	0.0625321611030449	1.07900274962526
GSM1607864	0.00201878746071534	0	0	0.0981140839472078	0	0	0.172819258890639	0.0505915869116942	0	0.0799361013599122	0	0.0781660603932786	0	0.103548046517506	0.113433607557928	0.0260558706304548	0	0.0363230089549347	0	0.210843870031902	0	0.0281497173438265	0.015	0.228360615248808	1.00745640140561
GSM1607865	0	0	0.0466562918894612	0	0	0.0590261979812727	0	0.0456761730792503	0.0392355004769334	0.0052522338981773	0	0.0719230416023554	0.0165102577861822	0.187489388141472	0.0224313237641535	0.00109227076452205	0.0311010331679999	0	0	0.451368574895389	0	0.0222377125528309	0.225	0.0734849957144975	1.129004739255
GSM1607866	0.0380882711564678	0	0.0751569053778524	0.031289770383428	0	0.0702690541264516	0.127381527784887	0.150785166715368	0	0.0153327087470968	0	0.121734400184454	0.0210633185606397	0.00334358638346568	0.0883053210859811	0.05429712497514	0.0238609556447093	0.040977826246822	0	0.138114062627236	0	0	0.404	0.037753223900622	1.0719653741938
