Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-DQ-7591	0.0303015758252278	0.000836578223815116	0.0115515608847352	0.186425152078595	0	0.0790899897438528	0.0943852035675282	0.0676057422063777	0.11501481809116	0	0	0.0983225222350464	0.0026929282997679	0.00322498522296462	0.0913123385072653	0.110127590629421	0.0721529188491396	0.00707054566351036	0	0.0298855499715923	0	0	0.166	0.101239259851262	1.06186269862197
TCGA-DQ-7592	0	0	0.0375313752464895	0.102910505331235	0	0.0101639540082761	0.137704417104616	0.014387534891987	0	0	0	0.0839066397280285	0.000552821368667865	0.235467572566167	0.107161799301676	0.171941411362325	0	0	0	0.0982719690905326	0	0	0	0.473500916499545	0.879941368808652
TCGA-DQ-7593	0.0937210537530729	0.0735292635728591	0.0457865054138889	0.107379554986146	0	0.0948685254652671	0.0169550998504294	0.131441896693442	0.0780462319088022	0.00383362562617418	0	0.0674338244323457	0.00982137382362394	0	0.0495280294711749	0.0463606910483067	0.018245351457271	0	0	0.163048972497196	0	0	0	0.368335825558662	0.931894276655179
TCGA-DQ-7594	0.0400385734679417	0.0441597914122553	0.0625813702435551	0.147177458899158	0	0.00762496405534284	0.0273229686871049	0.157047148786097	0.0540100576681886	0.00599331096927542	0	0.0193375606593578	0	0	0.212467352276413	0.12777942296509	0.0118978312115131	0.00762594520564428	0	0.0749362434930618	0	0	0	0.496445314173954	0.867508556667543
TCGA-DQ-7595	0	0	0.139142481720181	0.0365131598662157	0	0.106355638760757	0	0.0491446527274717	0.205535113720084	0	0.0331123505969578	0	0.0323246032559958	0	0.0251109938343649	0.168664713907733	0.0377888304530023	0.0725387997436065	0.0606049952030794	0.0331636662105519	0	0	0.051	0.178593273572289	1.00272527694358
TCGA-DQ-7596	0.0934112096065744	0.0666920976623755	0.0535870721261974	0.0775814921656619	0	0.0844820509783346	0	0.100224294069665	0.0773429885651543	0.0496136874155127	0	0.060662522832329	0	0	0.066081360401764	0.105610583291193	0.000927187623185562	0.0641178537390595	0	0.0956891507517437	0	0.00397644877124964	0.002	0.313930684161587	0.955213176089985
TCGA-F7-7848	0	0.0500745271762017	0.0749194264533682	0.108382061539716	0	0.140632077014156	0.0469781781338581	0.0371973933195527	0.0403084684385176	0	0	0.00860647161456808	0.0123341264879054	0.0696315295001116	0.0145853872922985	0.236754227447066	0.00308258746253133	0.00803635144413324	0	0.130424654420158	0	0.0180525322558571	0.019	0.250982812827327	0.979019166747541
TCGA-F7-8298	0	0	0.0169456301467816	0.0163100388029927	0.0111319607615328	0.0540767889192936	0.0975766982421792	0.00678107419842324	0	0	0	0.0650051965706242	0	0.171643791269728	0.0146557975819874	0.161953081591007	0	0	0	0.38391994191545	0	0	0	0.50194826313683	0.867003628797645
TCGA-F7-8489	0.0114958295596783	0	0.0141104947453895	0.0766258180211717	0	0.160719312356454	0.113195756662867	0.0637925753997887	0	0	0	0.0717500198490418	0	0.0389629635689797	0.155682751933946	0.126954405163536	0.0111067664922823	0.0653290768978234	0	0.0898243203632937	0	0.000449908985746813	0.012	0.271574421334826	0.983516616398287
TCGA-F7-A50G	0	0.00699627745214468	0.00980872259798276	0.153890860515094	0	0	0.0619591794344012	0.0703620722439103	0.0269878420155815	0	0	0.0758513792403874	0	0.0993309307572976	0.180287984610032	0.180973067910195	0.0828227253020664	0.0192057126467027	0.00871473621639017	0.017482562336045	0	0.0053259467217695	0	0.461729847672663	0.886989726284995
